Firm.Name,Sum_Assts_Wted,Sum_Assets,Fee_Wted
Caldwell & Orkin,330033223.4925,43618410.666666664,7.566374346250825
Calvert Research and Management,6658149222.1825,10496055328.045454,0.6343477634299363
Cambiar Funds,4081742397.7799997,4114214500,0.9921073385405647
Camelot Funds,348605290.81583333,81119310.66666667,4.297439018537928
Campbell & Company,838815094.0450001,228416312.1666667,3.672308190638104
Canterbury Investment Management,23334826.125,35156746.083333336,0.6637367994662703
Capital Advisors,49534891.5,53840335,0.9200331220078776
Capital Group,2633951898.3883333,4332709244.25,0.6079226068270998
Caravan,8229206.050000001,13431784.833333334,0.6126666077599591
Cardinal Capital,41559627.333333336,83104431,0.5000891869812975
Cargile,0,5596221,0
Carillon Family of Funds,10984085117.55,15867103585.25,0.6922552095620503
Castle Investment Management,268079376.76833332,142822821.25,1.877006590557973
Catalyst Mutual Funds,12194196258.770834,5999322674.833333,2.0325954978091922
Catholic Investor,274482476.97083336,448739940.3333333,0.6116738277563216
Causeway,12068640409.690834,13515140876,0.8929718543387261
Cavalier,275696455.20916665,324580007.95,0.8493944434545592
Cavanal Hill funds,318149489.2183333,399359585.3333333,0.7966491876056602
CCA Funds,26708076.075,34897683.916666664,0.7653251756986824
Centaur,43742964.06666666,24539168.416666668,1.7825772790636638
Centerstone Investors,269460035.90833336,513423896.0833333,0.5248295569487821
Centre Funds,239195849.0275,178178255.91666666,1.3424525220370944
CGM,3144325454.4683332,2074613443.9166667,1.5156199164178532
Champlain Funds,3108669445.329167,4109015879.5,0.7565484136574914
Changing Parameters,128829139.22416666,66883246.75,1.926179506591711
Chartwell Investment Partners,1313290147.6366665,1861391967.75,0.7055419655775865
Chase,91269774.04333332,76207663.75,1.1976456113750544
Chesapeake,59050892.92916667,36454631.5,1.6198461073229247
Chiron Investment Management,1056429866.3750001,2123284830.9166667,0.49754505424452034
Christopher Weil,43819027.71666667,38555716,1.1365118395588003
CIBC Private Wealth Management,1503225337.5875,2184920229.75,0.6880001004702584
City National Rochdale,4937801778.296667,5221354337.916667,0.9456936761481815
Clark Fork Trust,80898477.66666667,104185299.16666667,0.7764864939078617
Clarkston Funds,684996645.354697,891166514.3333333,0.7686516878017252
Clifford Capital,11535333.533333333,15596235.166666666,0.739622954518372
Clipper Fund,808597803.1274999,1152298617.5,0.7017259162228405
Clough,69256468.50166667,57509183.083333336,1.20426799318834
CM Advisors,124453119.09583333,158920712.1666667,0.7831145317629474
CMG,147495072.4025,125149777.91666666,1.1785484150096726
Cognios Capital,413983892.8408333,128774007.41666667,3.214809425797625
Cohen & Steers,19750266911.345,22067522191.333332,0.894992502561144
Coho,206059984.75750002,204576828.83333334,1.0072498724935022
Columbia,124861416109.49117,146425615847.425,0.8527293218940349
Commerce,1608718402.0575,2519905588.25,0.6384042360788236
